# p31 sites — machine-readable ledger (tools/string_sites.py --p31-tsv); consumed by lower.py --strings-sites
# dis sha256=5c1db5fb75c8c26a70eaeab5760213973d1c80e8711b6dacbb9c28376d4118f4
# blocks sha256=1d3baaf6487a8e3faf4c900e49dbcaae6ddbe1e7f996a47b161c74b502b43477
# mem sha256=1d44317d0995843e28fd576adffb8be977489975760def777d7e7c2a70803074
# pc	op	block	func	idiom	dest	verdict	category	reason	fold	ir
7015F8C0	WCMV	7015F8B7	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015F8B7 7015F8B9 7015F8BA 7015F8BC 7015F8BE	[@wp(ac3, 14), 32 varying] = [@0x7015D311:0, "\x0A\x0BThat being cannot be charmed!\x0A"]
7015F983	WCMV	7015F90E	ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(+686*W[(ac1@entry+10)]+W[0x70000210]-0X271)]+N[(+11*N[(+686*W[(ac1@entry+10)]+W[0x70000210]+42)]-0XFEAE09C)]+36) is not a constant or a length word		
7015FA85	WCMV	7015FA7C	AUTO_MOVE	ASSIGN-LIT-VARYING	a	EMIT			7015FA7C 7015FA7E 7015FA7F 7015FA81 7015FA83	[@wp(ac3, 14), 25 varying] = [@0x7015F9EB:0, "\x0BWhat direction to move? "]
7015FAF7	WCMV	7015FAEE	AUTO_MOVE	ASSIGN-LIT-VARYING	a	EMIT			7015FAEE 7015FAF0 7015FAF1 7015FAF3 7015FAF5	[@wp(ac3, 14), 25 varying] = [@0x7015F9D5:0, "\x0BStay at current location"]
7015FB10	WCMV	7015FB07	AUTO_MOVE	ASSIGN-LIT-VARYING	a	EMIT			7015FB07 7015FB09 7015FB0A 7015FB0C 7015FB0E	[@wp(ac3, 14), 18 varying] = [@0x7015F9CB:0, "\x0BMove to the NORTH"]
7015FB29	WCMV	7015FB20	AUTO_MOVE	ASSIGN-LIT-VARYING	a	EMIT			7015FB20 7015FB22 7015FB23 7015FB25 7015FB27	[@wp(ac3, 14), 18 varying] = [@0x7015F9C1:0, "\x0BMove to the SOUTH"]
7015FB42	WCMV	7015FB39	AUTO_MOVE	ASSIGN-LIT-VARYING	a	EMIT			7015FB39 7015FB3B 7015FB3C 7015FB3E 7015FB40	[@wp(ac3, 14), 17 varying] = [@0x7015F9B7:0, "\x0BMove to the WEST"]
7015FB5B	WCMV	7015FB52	AUTO_MOVE	ASSIGN-LIT-VARYING	a	EMIT			7015FB52 7015FB54 7015FB55 7015FB57 7015FB59	[@wp(ac3, 14), 17 varying] = [@0x7015F9AD:0, "\x0BMove to the EAST"]
7015FB6F	WCMV	7015FB66	AUTO_MOVE	ASSIGN-LIT-VARYING	a	EMIT			7015FB66 7015FB68 7015FB69 7015FB6B 7015FB6D	[@wp(ac3, 14), 22 varying] = [@0x7015F9A1:0, "\x0A\x0BFor how many turns? "]
7015FD68	WCMV	7015FD5F	BACKPACK	ASSIGN-LIT-VARYING	a	EMIT			7015FD5F 7015FD61 7015FD62 7015FD64 7015FD66	[@wp(ac3, 20), 29 varying] = [@0x7015FCC7:0, "\x0BYou do not have a backpack!\x0A"]
7015FDD1	WCMV	7015FDC8	BACKPACK	ASSIGN-LIT-VARYING	a	EMIT			7015FDC8 7015FDCA 7015FDCB 7015FDCD 7015FDCF	[@wp(ac3, 42), 32 varying] = [@0x7015FCB7:0, "\x0BYou do not have any inventory!\x0A"]
7015FE00	WCMV	7015FDEE	BACKPACK	ASSIGN-LIT-VARYING	a	EMIT			7015FDF7 7015FDF9 7015FDFA 7015FDFC 7015FDFE	[@wp(ac3, 60), 77 varying] = [@0x7015FC8F:0, "\x0BDo you wish to (S) stow (L) list or (T) take\x0A\x0Bsomething from the backpack ? "]
7015FE54	WCMV	7015FE4B	BACKPACK	ASSIGN-LIT-VARYING	a	EMIT			7015FE4B 7015FE4D 7015FE4E 7015FE50 7015FE52	[@wp(ac3, 20), 24 varying] = [@0x7015FC7F:0, "\x0BThe inventory is empty!"]
7015FE7A	WCMV	7015FE71	BACKPACK	ASSIGN-LIT-VARYING	?	EMIT			7015FE71 7015FE73 7015FE74 7015FE76 7015FE78	[@wp(ac3, 12), 6 varying] = [@0x7015FC7B:0, "put in"]
7015FE96	WCMV	7015FE8D	BACKPACK	ASSIGN-LIT-VARYING	a	EMIT			7015FE8D 7015FE8F 7015FE90 7015FE92 7015FE94	[@wp(ac3, 20), 23 varying] = [@0x7015FC6D:0, "\x0BThe backpack is empty!"]
7015FEBC	WCMV	7015FEB3	BACKPACK	ASSIGN-LIT-VARYING	?	EMIT			7015FEB3 7015FEB5 7015FEB6 7015FEB8 7015FEBA	[@wp(ac3, 12), 9 varying] = [@0x7015FC67:0, "take from"]
7015FF9C	WCMV	7015FF6A	BACKPACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+12)]+59) is not a constant or a length word		
7016001B	WCMV	70160012	BACKPACK	ASSIGN-LIT-VARYING	a	EMIT			70160012 70160014 70160015 70160017 70160019	[@wp(ac3, 100), 53 varying] = [@0x7015FC29:0, "\x0BYou can only carry one water skin in your inventory!"]
7016005C	WCMV	70160053	BACKPACK	ASSIGN-LIT-VARYING	a	EMIT			70160053 70160055 70160056 70160058 7016005A	[@wp(ac3, 136), 103 varying] = [@0x7015FBF5:0, "\x0BYou will have to empty the water skin\x0A\x0Bbefore you can put it in the backpack\x0A\x0BHit space bar to confirm"]
701600F7	WCMV	701600EE	BACKPACK	ASSIGN-LIT-VARYING	a	EMIT			701600EE 701600F0 701600F1 701600F3 701600F5	[@wp(ac3, 20), 24 varying] = [@0x7015FBE9:0, "\x0BThere is no room left!\x0A"]
70160481	WCMV	70160478	BARGAIN	ASSIGN-LIT-VARYING	a	EMIT			70160478 7016047A 7016047B 7016047D 7016047F	[@wp(ac3, 18), 59 varying] = [@0x701603B7:0, "\x0BIf you back away, the being will<\x0A\x09\x09\x09\x09\x09  > also back away."]
701604B8	WCMV	701604AF	BARGAIN	ASSIGN-LIT-VARYING	a	EMIT			701604AF 701604B1 701604B2 701604B4 701604B6	[@wp(ac3, 18), 36 varying] = [@0x701603A5:0, "\x0BNo bargain can possibly be reached."]
701604CD	WBLM	701604C4	BARGAIN	-	?	EMIT			701604C7 701604C9 701604CB	words(@wp(ac3, 6), 8) = words(@wp(ac3, 4), 8) ; fill: src = dst - 2 (self-overlapping smear, Census F6)
701605BA	WCMV	701605B1	BARGAIN	ASSIGN-LIT-VARYING	a	EMIT			701605B1 701605B3 701605B4 701605B6 701605B8	[@wp(ac3, 50), 152 varying] = [@0x70160359:0, "\x0BMaldork wants to absorb 80% of your intelligence in exchange\x0A\x0BFor the spells required to manipulate a familiar.\x0A\x0BHit space bar to bargain with Maldork."]
701605D9	WCMV	701605D0	BARGAIN	ASSIGN-LIT-VARYING	a	EMIT			701605D0 701605D2 701605D3 701605D5 701605D7	[@wp(ac3, 128), 171 varying] = [@0x70160301:0, "\x0D\x17\x17\x0BMaldork informs you that there are six ingredients\x0A\x0Bneeded to charm a familiar.  One of the ingredients\x0A\x0Bis the blood of a demon, but Maldork cannot remember the rest."]
7016066C	WCMV	70160657	BARGAIN	ASSIGN-LIT-VARYING	a	EMIT			70160663 70160665 70160666 70160668 7016066A	[@wp(ac3, 18), 47 varying] = [@0x701602E9:0, "\x0BAn alliance with the healer  has been granted."]
701606FF	WCMV	701606F6	BARGAIN	ASSIGN-LIT-VARYING	a	EMIT			701606F6 701606F8 701606F9 701606FB 701606FD	[@wp(ac3, 50), 99 varying] = [@0x701602B7:0, "\x0BHe will grant an alliance in exchange for your One Ring.\x0A\x0BHit space bar to surrendor the One Ring."]
70160714	WCMV	7016070B	BARGAIN	ASSIGN-LIT-VARYING	a	EMIT			7016070B 7016070D 7016070E 70160710 70160712	[@wp(ac3, 50), 100 varying] = [@0x70160285:0, "\x0BHe will move away in peace in exchange for your One Ring.\x0A\x0BHit space bar to surrendor the One Ring."]
70160825	WCMV	7016080D	BARGAIN	ASSIGN-LIT-VARYING	a	EMIT			7016081C 7016081E 7016081F 70160821 70160823	[@wp(ac3, 50), 64 varying] = [@0x70160265:0, "\x0BThe citadel wall can now be entered after the guard moves away."]
70160848	WCMV	7016083F	BARGAIN	ASSIGN-LIT-VARYING	a	EMIT			7016083F 70160841 70160842 70160844 70160846	[@wp(ac3, 18), 38 varying] = [@0x70160251:0, "\x0BYou do not have anything of interest."]
7016088E	WCMV	70160885	BARGAIN	ASSIGN-LIT-VARYING	a	EMIT			70160885 70160887 70160888 7016088A 7016088C	[@wp(ac3, 12), 47 varying] = [@0x70160239:0, "\x0BYou don't have enough wealth to  bargain with."]
701608D7	WCMV	701608A5	BARGAIN	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+12)]+67) is not a constant or a length word		
7016092F	WBLM	70160920	BARGAIN	-	?	EMIT			70160929 7016092B 7016092D	words(@wp(ac3, 8), 8) = words(@wp(ac3, 6), 8) ; fill: src = dst - 2 (self-overlapping smear, Census F6)
70160983	WCMV	7016097A	BARGAIN	ASSIGN-LIT-VARYING	a	EMIT			7016097A 7016097C 7016097D 7016097F 70160981	[@wp(ac3, 38), 38 varying] = [@0x70160251:0, "\x0BYou do not have anything of interest."]
70160A14	WCMV	701609E2	BARGAIN	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+18)]+62) is not a constant or a length word		
701617E6	WCMV	701617DD	BOAT	ASSIGN-LIT-VARYING	c	EMIT			701617DD 701617DF 701617E0 701617E2 701617E4	[@wp(ac3, 18), 24 varying] = [@0x7016160D:0, "and let the wind take it"]
701617F6	WCMV	701617ED	BOAT	ASSIGN-LIT-VARYING	c	EMIT			701617ED 701617EF 701617F0 701617F2 701617F4	[@wp(ac3, 18), 12 varying] = [@0x70161607:0, "to the NORTH"]
70161809	WCMV	70161800	BOAT	ASSIGN-LIT-VARYING	c	EMIT			70161800 70161802 70161803 70161805 70161807	[@wp(ac3, 18), 12 varying] = [@0x70161601:0, "to the SOUTH"]
7016181D	WCMV	70161814	BOAT	ASSIGN-LIT-VARYING	c	EMIT			70161814 70161816 70161817 70161819 7016181B	[@wp(ac3, 18), 11 varying] = [@0x701615FB:0, "to the WEST"]
70161830	WCMV	70161827	BOAT	ASSIGN-LIT-VARYING	a	EMIT			70161827 70161829 7016182A 7016182C 7016182E	[@wp(ac3, 18), 11 varying] = [@0x701615F5:0, "to the EAST"]
70161898	WCMV	7016188F	BOAT	ASSIGN-LIT-VARYING	a	EMIT			7016188F 70161891 70161892 70161894 70161896	[@wp(ac3, 40), 27 varying] = [@0x701615E7:0, "\x0BDo you wish to disembark ?"]
7016190F	WCMV	701618F0	BOAT	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+18)]+6) is not a constant or a length word		
70161ADD	WCMV	70161AD4	BOAT	ASSIGN-LIT-VARYING	a	EMIT			70161AD4 70161AD6 70161AD7 70161AD9 70161ADB	[@wp(ac3, 10), 22 varying] = [@0x701615D5:0, "\x0BYour boat is blocked!"]
70161F4C	WCMV	70161F43	CATAPULT	ASSIGN-LIT-VARYING	a	EMIT			70161F43 70161F45 70161F46 70161F48 70161F4A	[@wp(ac3, 22), 59 varying] = [@0x70161C27:0, "\x0BOne of your catapults has been destroyed by flaming arrows"]
70162367	WCMV	7016235E	CAST	ASSIGN-LIT-VARYING	a	EMIT			7016235E 70162360 70162361 70162363 70162365	[@wp(ac3, 90), 57 varying] = [@0x7016228F:0, "\x17\x0BThere are no non-attack spells available at this time.\x0A"]
7016237D	WCMV	70162374	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162374 70162376 70162377 70162379 7016237B	[@wp(ac3, 120), 118 varying] = [@0x70162253:0, "\x17\x0BHit space bar at spell to cast, escape key to exit,\x0A\x0Bback arrow for previous spell, anything else to get next spell\x0A"]
701623EE	WCMV	701623BA	CAST	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(+16*N[(fp+7)]-0XFEAFBB8)]+2) is not a constant or a length word		
70162410	WCMV	70162407	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162407 70162409 7016240A 7016240C 7016240E	[@wp(ac3, 90), 6 varying] = [@0x7016224B:0, "\x0A\x0B\x0A\x0B\x17\x17"]
7016249F	WCMV	70162496	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162496 70162498 70162499 7016249B 7016249D	[@wp(ac3, 14), 39 varying] = [@0x70162235:0, "\x0A\x0BIt is too confined to run in a cave!\x0A"]
70162540	WCMV	70162537	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162537 70162539 7016253A 7016253C 7016253E	[@wp(ac3, 36), 59 varying] = [@0x70162217:0, "\x0A\x0BThe Dark Lord's staff counteracts the strength of atlas!\x0A"]
70162590	WCMV	70162587	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162587 70162589 7016258A 7016258C 7016258E	[@wp(ac3, 36), 48 varying] = [@0x701621FF:0, "\x0A\x0BYou cannot do that without owning a caduceus!\x0A"]
70162646	WCMV	7016263D	CAST	ASSIGN-LIT-VARYING	a	EMIT			7016263D 7016263F 70162640 70162642 70162644	[@wp(ac3, 14), 42 varying] = [@0x701621E9:0, "\x0A\x0BYou cannot concentrate while in battle!\x0A"]
7016268F	WCMV	70162686	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162686 70162688 70162689 7016268B 7016268D	[@wp(ac3, 14), 42 varying] = [@0x701621E9:0, "\x0A\x0BYou cannot concentrate while in battle!\x0A"]
701626DC	WCMV	701626D3	CAST	ASSIGN-LIT-VARYING	a	EMIT			701626D3 701626D5 701626D6 701626D8 701626DA	[@wp(ac3, 36), 56 varying] = [@0x701621CD:0, "\x0A\x0BThe spell has no effect without an invisibility ring!\x0A"]
70162742	WCMV	70162739	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162739 7016273B 7016273C 7016273E 70162740	[@wp(ac3, 36), 46 varying] = [@0x701621B5:0, "\x0A\x0BThe spell has no effect while on a pegasus!\x0A"]
7016276F	WCMV	70162766	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162766 70162768 70162769 7016276B 7016276D	[@wp(ac3, 14), 42 varying] = [@0x701621E9:0, "\x0A\x0BYou cannot concentrate while in battle!\x0A"]
701627D4	WCMV	701627CB	CAST	ASSIGN-LIT-VARYING	a	EMIT			701627CB 701627CD 701627CE 701627D0 701627D2	[@wp(ac3, 36), 46 varying] = [@0x701621B5:0, "\x0A\x0BThe spell has no effect while on a pegasus!\x0A"]
70162801	WCMV	701627F8	CAST	ASSIGN-LIT-VARYING	a	EMIT			701627F8 701627FA 701627FB 701627FD 701627FF	[@wp(ac3, 14), 42 varying] = [@0x701621E9:0, "\x0A\x0BYou cannot concentrate while in battle!\x0A"]
7016282F	WCMV	70162826	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162826 70162828 70162829 7016282B 7016282D	[@wp(ac3, 36), 60 varying] = [@0x70162197:0, "\x0A\x0BYou cannot create a boat unless you are in shallow water!\x0A"]
701628DA	WCMV	701628D1	CAST	ASSIGN-LIT-VARYING	a	EMIT			701628D1 701628D3 701628D4 701628D6 701628D8	[@wp(ac3, 36), 50 varying] = [@0x7016217D:0, "\x0A\x0BThe spell has no effect without a crystal ball!\x0A"]
70162907	WCMV	701628FE	CAST	ASSIGN-LIT-VARYING	a	EMIT			701628FE 70162900 70162901 70162903 70162905	[@wp(ac3, 14), 42 varying] = [@0x701621E9:0, "\x0A\x0BYou cannot concentrate while in battle!\x0A"]
7016291D	WCMV	70162914	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162914 70162916 70162917 70162919 7016291B	[@wp(ac3, 36), 43 varying] = [@0x70162167:0, "\x0A\x0BWho/what do you wish to concentrate on ? "]
7016296A	WCMP	7016295F	CAST	-	-	EMIT			7016295F 70162961 70162963 70162965 70162966 70162968	ac1 = cmp([@(M32[wp(ac3, -6)] + 18), varying], [@0x70162163:0, "TERRAK"])
70162979	WCMP	7016296E	CAST	-	-	EMIT			7016296E 70162970 70162972 70162974 70162975 70162977	ac1 = cmp([@(M32[wp(ac3, -6)] + 18), varying], [@0x7016215F:0, "CARRONE"])
70162988	WCMP	7016297D	CAST	-	-	EMIT			7016297D 7016297F 70162981 70162983 70162984 70162986	ac1 = cmp([@(M32[wp(ac3, -6)] + 18), varying], [@0x7016215B:0, "ALBION"])
70162997	WCMP	7016298C	CAST	-	-	EMIT			7016298C 7016298E 70162990 70162992 70162993 70162995	ac1 = cmp([@(M32[wp(ac3, -6)] + 18), varying], [@0x70162157:0, "BRISTLE"])
701629A6	WCMP	7016299B	CAST	-	-	EMIT			7016299B 7016299D 7016299F 701629A1 701629A2 701629A4	ac1 = cmp([@(M32[wp(ac3, -6)] + 18), varying], [@0x70162153:0, "MALDORK"])
701629B7	WCMP	701629AC	CAST	-	-	EMIT			701629AC 701629AE 701629B0 701629B2 701629B3 701629B5	ac1 = cmp([@(M32[wp(ac3, -6)] + 18), varying], [@0x70162163:0, "TERRAK"])
701629D1	WCMP	701629C6	CAST	-	-	EMIT			701629C6 701629C8 701629CA 701629CC 701629CD 701629CF	ac1 = cmp([@(M32[wp(ac3, -6)] + 18), varying], [@0x7016215F:0, "CARRONE"])
701629EB	WCMP	701629E0	CAST	-	-	EMIT			701629E0 701629E2 701629E4 701629E6 701629E7 701629E9	ac1 = cmp([@(M32[wp(ac3, -6)] + 18), varying], [@0x7016215B:0, "ALBION"])
70162A05	WCMP	701629FA	CAST	-	-	EMIT			701629FA 701629FC 701629FE 70162A00 70162A01 70162A03	ac1 = cmp([@(M32[wp(ac3, -6)] + 18), varying], [@0x70162157:0, "BRISTLE"])
70162A1F	WCMP	70162A14	CAST	-	-	EMIT			70162A14 70162A16 70162A18 70162A1A 70162A1B 70162A1D	ac1 = cmp([@(M32[wp(ac3, -6)] + 18), varying], [@0x70162153:0, "MALDORK"])
70162AAF	WCMP	70162AA3	CAST	-	-	REFUSE	OPERAND-DEAD	leaf register ac2 does not hold ac2@entry at the statement (last writer: LLEFB at 70162AAA)		
70162B53	WCMP	70162B48	CAST	-	-	REFUSE	OPERAND-DEAD	leaf register ac2 does not hold ac2@entry at the statement (last writer: XLEFB at 70162B4E)		
70162B98	WCMV	70162B8F	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162B8F 70162B91 70162B92 70162B94 70162B96	[@wp(ac3, 36), 48 varying] = [@0x70162139:0, "\x0A\x0BYou cannot teleport without a transport ring!\x0A"]
70162BC5	WCMV	70162BBC	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162BBC 70162BBE 70162BBF 70162BC1 70162BC3	[@wp(ac3, 14), 39 varying] = [@0x70162125:0, "\x0A\x0BYou cannot teleport while in battle!\x0A"]
70162BF2	WCMV	70162BE9	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162BE9 70162BEB 70162BEC 70162BEE 70162BF0	[@wp(ac3, 36), 60 varying] = [@0x70162107:0, "\x0A\x0BYou cannot teleport while carrying the Dark Lord's Staff!\x0A"]
70162C80	WCMV	70162C77	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162C77 70162C79 70162C7A 70162C7C 70162C7E	[@wp(ac3, 14), 40 varying] = [@0x701620F3:0, "\x0A\x0BTeleporting does not have any affect!\x0A"]
70162CAD	WCMV	70162CA4	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162CA4 70162CA6 70162CA7 70162CA9 70162CAB	[@wp(ac3, 14), 41 varying] = [@0x701620DD:0, "\x0A\x0BYou cannot teleport with the princess!\x0A"]
70162CC3	WCMV	70162CBA	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162CBA 70162CBC 70162CBD 70162CBF 70162CC1	[@wp(ac3, 14), 31 varying] = [@0x701620CD:0, "\x0A\x0BWhat castle to teleport to ? "]
70162D72	WCMP	70162D6A	CAST	-	-	REFUSE	P32-SUBSTR	str1 count N[0x7000021C] is not a constant or a length word		
70162DFB	WCMV	70162DF2	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162DF2 70162DF4 70162DF5 70162DF7 70162DF9	[@wp(ac3, 14), 37 varying] = [@0x701620B9:0, "\x0A\x0BThat castle is currently occupied!\x0A"]
70163000	WCMV	70162FF7	CAST	ASSIGN-LIT-VARYING	a	EMIT			70162FF7 70162FF9 70162FFA 70162FFC 70162FFE	[@wp(ac3, 14), 42 varying] = [@0x701621E9:0, "\x0A\x0BYou cannot concentrate while in battle!\x0A"]
70163051	WCMV	70163048	CAST	ASSIGN-LIT-VARYING	a	EMIT			70163048 7016304A 7016304B 7016304D 7016304F	[@wp(ac3, 72), 75 varying] = [@0x70162093:0, "\x0A\x0BCamaflage has no effect outside either a forest, mountain, or foot hill.\x0A"]
701630AC	WCMV	701630A3	CAST	ASSIGN-LIT-VARYING	a	EMIT			701630A3 701630A5 701630A6 701630A8 701630AA	[@wp(ac3, 36), 47 varying] = [@0x7016207B:0, "\x0A\x0BThe Dark Lord's staff counteracts the field!\x0A"]
7016317D	WCMV	70163174	CAST	ASSIGN-LIT-VARYING	a	EMIT			70163174 70163176 70163177 70163179 7016317B	[@wp(ac3, 14), 33 varying] = [@0x70162069:0, "\x0A\x0BYou do not have a magic cloak!\x0A"]
7016328C	WCMV	70163283	CAST	ASSIGN-LIT-VARYING	a	EMIT			70163283 70163285 70163286 70163288 7016328A	[@wp(ac3, 14), 37 varying] = [@0x70162055:0, "\x0A\x0BYou cannot create a fog in a cave!\x0A"]
70163311	WCMV	70163308	CAST	ASSIGN-LIT-VARYING	a	EMIT			70163308 7016330A 7016330B 7016330D 7016330F	[@wp(ac3, 36), 51 varying] = [@0x7016203B:0, "\x0A\x0BThe world cannot take any more fog at this time!\x0A"]
7016333E	WCMV	70163335	CAST	ASSIGN-LIT-VARYING	a	EMIT			70163335 70163337 70163338 7016333A 7016333C	[@wp(ac3, 14), 30 varying] = [@0x7016202B:0, "\x0A\x0BYou do not have a familiar!\x0A"]
70163382	WCMV	70163379	CAST	ASSIGN-LIT-VARYING	a	EMIT			70163379 7016337B 7016337C 7016337E 70163380	[@wp(ac3, 14), 30 varying] = [@0x7016202B:0, "\x0A\x0BYou do not have a familiar!\x0A"]
701633DE	WCMV	70163396	CAST	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(+686*N[0x70000216]+W[0x70000210]+23)]+28) is not a constant or a length word		
70163467	WCMV	70163451	CAST	ASSIGN-LIT-VARYING	p	EMIT			7016345C 7016345E 7016345F 70163461 70163463 70163465	[@(M32[wp(ac3, -6)] + 18), 5 varying] = [@0x7016200F:0, "north"]
7016348A	WCMV	70163474	CAST	ASSIGN-LIT-VARYING	p	EMIT			7016347F 70163481 70163482 70163484 70163486 70163488	[@(M32[wp(ac3, -6)] + 18), 5 varying] = [@0x7016200B:0, "south"]
7016350C	WCMV	70163503	CAST	ASSIGN-LIT-VARYING	a	EMIT			70163503 70163505 70163506 70163508 7016350A	[@wp(ac3, 14), 30 varying] = [@0x7016202B:0, "\x0A\x0BYou do not have a familiar!\x0A"]
7016357B	WBLM	7016356E	CAST	-	?	EMIT				words(@ac3, 90) = words(@ac2, 90) ; fill: src = dst - 1 (self-overlapping smear, Census F6)
701635AF	WCMV	701635A6	CAST	ASSIGN-LIT-VARYING	a	EMIT			701635A6 701635A8 701635A9 701635AB 701635AD	[@wp(ac3, 36), 59 varying] = [@0x70161FE9:0, "\x0A\x0BChanging the weather requires all of your concentration.\x0A"]
701635DC	WCMV	701635D3	CAST	ASSIGN-LIT-VARYING	a	EMIT			701635D3 701635D5 701635D6 701635D8 701635DA	[@wp(ac3, 36), 43 varying] = [@0x70161FD3:0, "\x0A\x0BYou cannot change the weather in a cave!\x0A"]
701635FF	WCMV	701635F6	CAST	ASSIGN-LIT-VARYING	a	EMIT			701635F6 701635F8 701635F9 701635FB 701635FD	[@wp(ac3, 36), 62 varying] = [@0x70161FB3:0, "\x0A\x0BYou cannot change the weather without the proper equipment!\x0A"]
70163961	WCMV	70163930	CASTLE_INVENTORY	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+32)]+37) is not a constant or a length word		
7016399A	WCMV	70163991	CASTLE_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			70163991 70163993 70163994 70163996 70163998	[@wp(ac3, 32), 12 varying] = [@0x70163805:0, "\x0BHow much ? "]
701639EA	WCMV	701639E1	CASTLE_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			701639E1 701639E3 701639E4 701639E6 701639E8	[@wp(ac3, 50), 36 varying] = [@0x701637F3:0, "\x0BYou best see your Royal Accountant."]
70163A46	WCMV	70163A3D	CASTLE_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			70163A3D 70163A3F 70163A40 70163A42 70163A44	[@wp(ac3, 32), 27 varying] = [@0x701637E5:0, "\x0BHit space bar to take the "]
70163AC5	WCMV	70163ABC	CASTLE_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			70163ABC 70163ABE 70163ABF 70163AC1 70163AC3	[@wp(ac3, 32), 33 varying] = [@0x701637D3:0, "\x0B\x0AYou can only tow one catapult!\x0A"]
70163C65	WCMV	70163C5C	CASTLE_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			70163C5C 70163C5E 70163C5F 70163C61 70163C63	[@wp(ac3, 32), 26 varying] = [@0x701637C5:0, "\x0A\x0BYou already have armor!\x0A"]
70163CFD	WCMV	70163CF4	CASTLE_INVENTORY	ASSIGN-LIT-VARYING	a	EMIT			70163CF4 70163CF6 70163CF7 70163CF9 70163CFB	[@wp(ac3, 32), 33 varying] = [@0x701637B3:0, "\x0A\x0BYou can't carry anything more!\x0A"]
70163D56	WCMV	70163D1A	CASTLE_INVENTORY	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(+9*N[(fp+13)]-0XFFFFCFB)]+21) is not a constant or a length word		
70164030	WCMV	70164030	CAVE_ATTACK	ASSIGN-LIT-FIXED	a	EMIT				[@ac2, 13] = [@0x70163F51:0, " of strength \x00\x00\x00\x0E..\x0F\x0E:.\x0F\x0E.:\x0F\x0E "]
7016409B	WCMV	70164049	CAVE_ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(+16*N[(fp+9)]-0XFFFF6CE)]+N[(fp+20)]+74) is not a constant or a length word		
701640CD	WCMV	701640C4	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			701640C4 701640C6 701640C7 701640C9 701640CB	[@wp(ac3, 42), 6 varying] = [@0x70163F23:0, "Ignore"]
701640E1	WCMV	701640D8	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			701640D8 701640DA 701640DB 701640DD 701640DF	[@wp(ac3, 42), 9 varying] = [@0x70163F1D:0, "\x0A\x0B\x0A\x0B\x0A\x0B\x17\x17\x17"]
70164101	WCMV	701640F8	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			701640F8 701640FA 701640FB 701640FD 701640FF	[@wp(ac3, 60), 37 varying] = [@0x70163F07:0, "Cast\x0A\x0BHit space bar at spell to cast\x0A"]
70164170	WCMV	7016413B	CAVE_ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(+16*N[(fp+6)]-0XFEAFBB8)]+2) is not a constant or a length word		
7016418F	WCMV	70164186	CAVE_ATTACK	ASSIGN-LIT-VARYING	a	EMIT			70164186 70164188 70164189 7016418B 7016418D	[@wp(ac3, 42), 6 varying] = [@0x70163F01:0, "\x0A\x0B\x0A\x0B\x17\x17"]
