rtcalls seq=005723 caller=QUEST2 entry=I.GINIT ret=7017EA33
rtcalls seq=005910 caller=QUEST2 entry=I?HPOWNER ret=7017EA46
rtcalls seq=005911 caller=QUEST2 entry=I.FPU ret=7017EA4D
rtcalls seq=005916 caller=QUEST2 entry=LANG?INIT ret=7017EA51
rtcalls seq=005917 caller=QUEST2 entry=SWAT.NIN ret=7017FD1C
rtcalls seq=005926 caller=QUEST2 entry=C?INIT ret=7017FD20
rtcalls seq=005927 caller=QUEST2 entry=C?INIT ret=7017FD24
rtcalls seq=005928 caller=QUEST2 entry=C?INIT ret=7017FD28
rtcalls seq=005929 caller=QUEST2 entry=C?INIT ret=7017FD2C
rtcalls seq=005930 caller=QUEST2 entry=C?INIT ret=7017FD30
rtcalls seq=005931 caller=QUEST2 entry=C?INIT ret=7017FD34
rtcalls seq=005932 caller=QUEST2 entry=C?INIT ret=7017FD38
rtcalls seq=005933 caller=QUEST2 entry=C?INIT ret=7017FD3C
rtcalls seq=005942 caller=QUEST2 entry=?OPEN_SHARED_IO_FILE ret=7015BE95
rtcalls seq=005947 caller=QUEST2 entry=?OPEN_SHARED_IO_FILE ret=7015BEB2
rtcalls seq=005952 caller=QUEST2 entry=?OPEN_SHARED_IO_FILE ret=7015BECF
rtcalls seq=005957 caller=QUEST2 entry=?GET_SHARED_PAGE ret=7015BEE3
rtcalls seq=006341 caller=QUEST2 entry=?GET_SHARED_PAGE ret=7015BEFE
rtcalls seq=009446 caller=QUEST2 entry=?GET_SHARED_PAGE ret=7015BF17
rtcalls seq=009641 caller=QUEST2 entry=?OPEN_FILE ret=7015C023
rtcalls seq=009646 caller=QUEST2 entry=?OPEN_FILE ret=7015C037
rtcalls seq=009651 caller=QUEST2 entry=?WRITE_SCREEN ret=7015C04B
rtcalls seq=009658 caller=QUEST2 entry=?WRITE_SCREEN ret=7015C05F
rtcalls seq=009666 caller=QUEST2 entry=I.PROLOG(native) ret=701766F2
rtcalls seq=009667 caller=QUEST2 entry=O.ON(native) ret=701766FD
rtcalls seq=009668 caller=QUEST2 entry=?READ_SCREEN ret=7017671A
rtcalls seq=009676 caller=QUEST2 entry=I.EPILOG(native) ret=7017671D
rtcalls seq=009678 caller=QUEST2 entry=I.PROLOG(native) ret=70175EA4
rtcalls seq=009679 caller=QUEST2 entry=O.ON(native) ret=70175EAF
